Date,Monthly_Income,Monthly_Expenditure,Savings_Ratio,Debt_to_Income_Ratio,Financial_Stability_Index,Investment_Amount,Credit_Score,Risk_Tolerance_Level,Expense_Category,Purchase_Amount,Purchase_Priority,Urgency_Score,Is_Feasible,Remaining_Budget,Budget_Utilization_Percentage
2022-01-21,109312.98,72496.51,0.203,0.65,0.476,147192.55,728,0.345,Travel,1530.04,1,5,1,36816.47,66.3201295948569
2022-01-22,75484.47,57805.61,0.577,0.523,0.604,17654.25,782,0.062,Travel,1692.57,1,4,0,17678.86,76.57947389708109
2022-01-23,81350.56,35860.55,0.129,0.503,0.474,87030.34,689,0.27,Entertainment,1051.19,2,5,1,45490.01,44.08150355695155
2022-01-24,51505.04,22156.23,0.369,0.337,0.656,108093.83,703,0.768,Rent/Bills,194.84,2,5,1,29348.81,43.0175959478917
2022-01-25,69112.35,36183.88,0.205,0.101,0.647,120322.59,710,0.885,Electronics,1160.8,1,4,1,32928.47000000001,52.355157942104405
2022-01-26,82218.45,39446.14,0.203,0.172,0.527,187828.08,820,0.222,Rent/Bills,1893.86,2,5,1,42772.31,47.97723625293349
2022-01-27,56980.13,47629.22,0.273,0.421,0.534,137727.63,595,0.464,Healthcare,676.17,2,1,1,9350.909999999996,83.58917398047355
2022-01-28,87513.96,44597.73,0.599,0.505,0.674,101442.81,734,0.47,Rent/Bills,1501.73,3,4,1,42916.23,50.96070386941695
2022-01-29,67987.23,60368.08,0.08,0.35,0.547,163838.26,694,0.874,Electronics,990.13,1,1,1,7619.149999999994,88.7932630877887
2022-01-30,74166.13,42159.58,0.368,0.538,0.606,190601.24,728,0.763,Rent/Bills,851.55,2,5,1,32006.550000000003,56.84478885442722
2022-01-31,67965.87,33375.25,0.095,0.413,0.495,14192.57,667,0.513,Electronics,641.37,1,3,1,34590.619999999995,49.10589682733408
2022-02-01,117045.56,93033.58,0.135,0.145,0.591,196679.04,698,0.671,Healthcare,1552.06,2,4,1,24011.98,79.48492877474379
2022-02-02,79730.06,58151.43,0.292,0.215,0.646,26365.11,736,0.847,Groceries,330.65,2,5,1,21578.63,72.93538973882625
2022-02-03,58845.78,38196.67,0.331,0.604,0.46,164733.49,850,0.01,Healthcare,686.79,3,4,1,20649.11,64.90978622426282
2022-02-04,96450.9,65363.02,0.192,0.535,0.496,63263.6,740,0.403,Electronics,1282.81,2,4,1,31087.88,67.76818049390934
2022-02-05,55583.13,42220.99,0.224,0.637,0.538,35114.13,658,0.907,Groceries,833.41,2,1,1,13362.14,75.96007997390575
2022-02-06,84177.27,43286.26,0.098,0.171,0.572,93572.57,679,0.74,Rent/Bills,1291.75,3,4,1,40891.01,51.4227415548164
2022-02-07,40806.6,36651.14,0.217,0.694,0.494,132351.75,677,0.543,Rent/Bills,1894.54,2,1,1,4155.459999999999,89.81669631873275
2022-02-08,53436.28,47419.17,0.582,0.226,0.709,82380.85,610,0.53,Rent/Bills,1732.9,3,1,1,6017.110000000001,88.73965403280319
2022-02-09,83937.22,60868.16,0.57,0.107,0.735,20367.43,683,0.348,Rent/Bills,869.5,3,1,1,23069.06,72.51629253387235
2022-02-10,94769.33,47362.98,0.234,0.698,0.493,123897.62,737,0.521,Entertainment,681.99,1,1,1,47406.35,49.97711812460846
2022-02-11,83427.37,61745.77,0.364,0.269,0.635,181456.62,636,0.655,Healthcare,285.33,2,5,1,21681.6,74.01140656837198
2022-02-12,77687.03,33879.25,0.55,0.501,0.643,82810.92,752,0.418,Electronics,681.51,1,3,1,43807.78,43.60991789749203
2022-02-13,73977.93,30724.97,0.053,0.206,0.543,51103.23,724,0.714,Entertainment,1243.62,1,4,1,43252.95999999999,41.53261655199058
2022-02-14,50429.56,26669.24,0.496,0.448,0.682,94089.7,663,0.861,Rent/Bills,1931.51,2,4,1,23760.32,52.88414176130032
2022-02-15,65603.12,41416.0,0.572,0.642,0.613,19188.92,693,0.155,Healthcare,1288.0,3,2,1,24187.119999999995,63.131143762674704
2022-02-16,70787.22,59046.19,0.1,0.292,0.499,165892.64,780,0.452,Travel,1784.17,1,5,1,11741.03,83.41363031349445
2022-02-17,101142.44,77230.81,0.139,0.502,0.483,167004.75,737,0.408,Travel,1673.01,2,4,1,23911.630000000005,76.3584604049497
2022-02-18,86872.37,67009.28,0.578,0.213,0.757,121720.09,700,0.687,Travel,1073.27,1,1,0,19863.09,77.13531931959494
2022-02-19,44739.2,27413.79,0.346,0.475,0.564,77089.55,688,0.25,Groceries,995.23,2,4,1,17325.409999999996,61.27465399470711
2022-02-20,86481.68,49551.19,0.058,0.302,0.525,161958.84,704,0.64,Rent/Bills,1966.76,2,2,1,36930.48999999999,57.29674770425367
2022-02-21,72298.35,42332.09,0.192,0.227,0.61,115390.53,674,0.877,Rent/Bills,964.58,3,1,1,29966.26000000001,58.55194482308378
2022-02-22,66461.56,59404.99,0.297,0.288,0.566,166927.14,595,0.418,Travel,254.27,1,3,1,7056.57,89.38247913530769
2022-02-23,92233.53,38743.12,0.431,0.207,0.686,129977.17,802,0.911,Groceries,1980.33,3,5,1,53490.41,42.00546157129625
2022-02-24,100619.99,83868.35,0.453,0.641,0.65,159037.04,708,0.993,Healthcare,1162.08,3,4,1,16751.64,83.35157854815927
2022-02-25,98625.6,67986.35,0.597,0.338,0.675,123726.97,720,0.106,Healthcare,868.35,2,1,1,30639.25,68.9337758147986
2022-02-26,63215.65,39149.94,0.208,0.247,0.556,88686.8,697,0.233,Healthcare,1861.71,2,2,1,24065.71,61.93077188955584
2022-02-27,73815.75,56294.02,0.346,0.369,0.647,192009.71,663,0.95,Rent/Bills,665.18,2,1,1,17521.730000000003,76.26288427605219
2022-02-28,86625.27,55729.02,0.343,0.292,0.671,112811.63,691,0.958,Travel,823.89,1,3,1,30896.250000000007,64.333444501818
2022-03-01,99510.9,83261.93,0.273,0.547,0.481,124967.01,620,0.098,Healthcare,286.54,2,4,0,16248.97,83.67116567129833
2022-03-02,70416.52,59878.75,0.143,0.683,0.382,51892.65,814,0.015,Groceries,479.59,2,1,0,10537.770000000004,85.0350883571071
2022-03-03,76286.82,46600.6,0.588,0.363,0.657,128873.65,638,0.161,Entertainment,405.44,1,4,1,29686.22000000001,61.086043434501526
2022-03-04,57873.3,31159.79,0.519,0.617,0.666,118605.45,648,0.996,Rent/Bills,1569.17,3,3,1,26713.51,53.841391453399055
2022-03-05,56075.87,39038.63,0.324,0.44,0.552,45119.3,678,0.18,Entertainment,423.15,2,4,1,17037.240000000005,69.6175199778443
2022-03-06,96250.52,82407.93,0.382,0.194,0.641,21321.55,764,0.503,Groceries,1292.94,2,2,0,13842.590000000013,85.61816601094725
2022-03-07,107124.8,54133.49,0.175,0.514,0.552,124828.27,701,0.848,Electronics,1146.35,1,3,1,52991.310000000005,50.53310717966334
2022-03-08,78559.8,55893.98,0.349,0.408,0.538,155101.53,638,0.02,Healthcare,1347.2,3,3,1,22665.82,71.14832267902923
2022-03-09,100070.66,71628.59,0.432,0.49,0.613,109446.26,763,0.604,Groceries,125.81,2,3,1,28442.070000000007,71.57801297603113
2022-03-10,87232.72,66868.81,0.333,0.634,0.521,53086.8,737,0.277,Rent/Bills,1375.41,2,2,0,20363.910000000003,76.65565168666069
2022-03-11,67097.6,31252.98,0.595,0.364,0.742,136639.18,727,0.862,Entertainment,631.6,1,1,1,35844.62000000001,46.578387304463945
2022-03-12,87227.91,66111.12,0.386,0.641,0.542,25220.09,736,0.283,Rent/Bills,214.81,2,4,1,21116.790000000008,75.79124617338647
2022-03-13,110760.73,94646.85,0.254,0.55,0.518,93948.4,820,0.687,Electronics,1342.56,1,4,0,16113.87999999999,85.45163073591155
2022-03-14,79283.48,38836.34,0.475,0.393,0.64,41039.68,809,0.674,Rent/Bills,1661.43,2,5,1,40447.14,48.98415155338792
2022-03-15,111292.87,57735.59,0.144,0.462,0.475,45047.22,666,0.221,Entertainment,1415.2,1,5,1,53557.28,51.87716877100932
2022-03-16,30000.0,26570.93,0.261,0.295,0.52,48435.85,781,0.035,Travel,987.46,2,4,1,3429.07,88.56976666666667
2022-03-17,96438.05,47301.75,0.241,0.69,0.492,83474.34,719,0.409,Travel,1331.81,1,4,1,49136.3,49.04884534683146
2022-03-18,81740.94,67615.5,0.287,0.5,0.535,19718.54,725,0.289,Rent/Bills,156.6,3,5,1,14125.440000000002,82.7192591619328
2022-03-19,74019.85,47827.11,0.48,0.126,0.718,85580.75,615,0.809,Healthcare,1180.07,3,3,1,26192.740000000005,64.61389748830888
2022-03-20,81835.22,42850.19,0.316,0.296,0.644,107224.41,691,0.8,Entertainment,353.41,1,4,1,38985.03,52.3615504424623
2022-03-21,40248.62,33622.69,0.487,0.474,0.631,101825.91,659,0.457,Rent/Bills,977.5,2,2,1,6625.93,83.53749768315038
2022-03-22,75606.56,47076.62,0.367,0.134,0.666,82728.98,741,0.607,Healthcare,579.59,3,1,1,28529.939999999995,62.265258464344896
2022-03-23,87142.25,57288.07,0.238,0.114,0.614,169437.86,754,0.604,Electronics,469.21,1,3,1,29854.18,65.74086622734666
2022-03-24,109557.88,63501.58,0.495,0.37,0.67,37612.07,596,0.827,Rent/Bills,1304.76,3,3,1,46056.3,57.96167286186991
2022-03-25,69634.6,48498.78,0.181,0.3,0.555,106082.38,699,0.425,Entertainment,434.87,1,5,1,21135.820000000007,69.64753154322707
2022-03-26,63830.13,30750.93,0.173,0.363,0.505,21787.87,756,0.275,Electronics,1423.87,1,4,1,33079.2,48.17619829381516
2022-03-27,69964.86,41666.93,0.327,0.258,0.603,23519.58,691,0.265,Groceries,202.07,3,3,1,28297.93,59.554081863381136
2022-03-28,98308.04,86973.73,0.193,0.199,0.578,119034.51,736,0.536,Electronics,467.64,1,5,0,11334.309999999998,88.47061745916204
2022-03-29,86575.02,45803.96,0.055,0.513,0.458,117543.5,718,0.449,Rent/Bills,520.49,2,1,1,40771.060000000005,52.90666984541268
2022-03-30,69404.8,50552.26,0.407,0.409,0.619,176826.37,717,0.44,Entertainment,1292.19,2,5,1,18852.54,72.83683549264605
2022-03-31,90265.35,50782.84,0.331,0.22,0.593,115996.0,686,0.091,Entertainment,379.45,1,2,1,39482.51000000001,56.25950600091839
2022-04-01,81941.55,64466.41,0.295,0.292,0.61,192360.29,639,0.719,Entertainment,1748.15,1,1,1,17475.14,78.67365213374656
2022-04-02,99372.9,46251.81,0.582,0.455,0.643,19252.02,644,0.214,Travel,543.99,2,3,1,53121.09,46.54368545146615
2022-04-03,65958.94,58367.76,0.364,0.143,0.624,28621.46,735,0.197,Healthcare,189.43,2,2,0,7591.18,88.49105216063205
2022-04-04,73446.76,46043.39,0.525,0.188,0.713,18372.51,701,0.413,Healthcare,584.25,3,5,1,27403.369999999995,62.68947738470697
2022-04-05,72157.84,37379.58,0.127,0.144,0.542,45202.6,693,0.228,Groceries,1123.75,3,1,1,34778.259999999995,51.802520696295794
2022-04-06,50729.7,22156.11,0.363,0.587,0.579,112841.32,679,0.584,Groceries,1357.71,3,3,1,28573.59,43.67482953772642
2022-04-07,85922.41,41661.97,0.527,0.551,0.632,132658.71,685,0.371,Electronics,1741.89,1,1,1,44260.44,48.48789739487056
2022-04-08,85221.11,56236.3,0.371,0.552,0.564,18661.18,752,0.449,Travel,1896.88,1,2,1,28984.81,65.98869693201603
2022-04-09,80102.27,45538.27,0.445,0.53,0.62,189734.47,683,0.537,Rent/Bills,1140.91,2,5,1,34564.00000000001,56.850161674569264
2022-04-10,75308.26,61334.18,0.255,0.502,0.498,170011.42,633,0.204,Healthcare,1523.58,3,4,1,13974.079999999994,81.44416030857705
2022-04-11,51692.59,31813.88,0.101,0.386,0.466,66356.37,737,0.156,Groceries,1201.94,3,1,1,19878.709999999995,61.54437222046719
2022-04-12,71587.09,37537.2,0.302,0.485,0.608,24665.63,690,0.88,Groceries,1431.55,2,2,1,34049.89,52.43571152284581
2022-04-13,73145.71,51829.04,0.267,0.123,0.625,42278.54,702,0.434,Electronics,720.3,2,3,1,21316.67000000001,70.85725191538916
2022-04-14,63954.45,48182.56,0.527,0.473,0.629,34119.44,780,0.412,Healthcare,1049.72,3,1,1,15771.89,75.33887008644433
2022-04-15,76774.29,37121.98,0.184,0.567,0.464,33423.92,699,0.036,Electronics,482.14,2,3,1,39652.30999999999,48.35209807866671
2022-04-16,88081.02,42614.44,0.582,0.4,0.697,108526.72,714,0.498,Rent/Bills,575.61,2,2,1,45466.58,48.38095653297385
2022-04-17,117723.72,49248.04,0.577,0.315,0.703,56711.01,641,0.554,Groceries,185.15,2,2,1,68475.68,41.83357440624541
2022-04-18,83491.56,64138.3,0.186,0.266,0.573,78046.55,689,0.559,Entertainment,1534.12,2,2,0,19353.259999999995,76.8201001394632
2022-04-19,85151.01,62322.22,0.241,0.486,0.559,198006.01,730,0.707,Electronics,1373.9,1,1,1,22828.789999999997,73.19022992211133
2022-04-20,78511.08,50036.32,0.543,0.516,0.604,140019.71,622,0.177,Healthcare,1747.1,2,2,1,28474.76,63.73153954830324
2022-04-21,41624.58,34218.95,0.582,0.623,0.63,190306.33,710,0.252,Travel,1661.84,1,1,1,7405.630000000005,82.20851717903219
2022-04-22,79469.72,63801.08,0.294,0.305,0.636,37085.75,705,0.811,Healthcare,1517.22,2,3,0,15668.64,80.283509241004
2022-04-23,81204.6,56248.58,0.227,0.562,0.572,82606.5,702,0.947,Healthcare,305.28,3,4,1,24956.020000000004,69.26772621255446
2022-04-24,129264.84,107824.41,0.339,0.437,0.544,115399.04,752,0.136,Travel,828.98,2,4,0,21440.429999999997,83.41356396681418
2022-04-25,76152.78,38298.8,0.428,0.63,0.589,24584.03,717,0.498,Entertainment,1253.44,2,2,1,37853.98,50.29205762416028
2022-04-26,86030.95,39226.65,0.2,0.417,0.492,10795.61,774,0.214,Groceries,462.2,3,1,1,46804.3,45.59597447197782
2022-04-27,79305.76,42418.66,0.455,0.411,0.588,137382.52,650,0.06,Travel,1834.5,2,5,1,36887.09999999999,53.4874894333022
2022-04-28,56626.44,24266.89,0.078,0.447,0.472,131945.71,707,0.326,Healthcare,565.04,2,4,1,32359.550000000003,42.85434507272574
2022-04-29,102856.46,68459.69,0.077,0.55,0.434,88049.87,704,0.144,Travel,1669.93,2,5,1,34396.770000000004,66.55847381875674
2022-04-30,95038.66,82522.34,0.262,0.679,0.521,103032.37,647,0.71,Healthcare,562.0,3,3,1,12516.320000000009,86.8302856963682
2022-05-01,95820.64,40213.22,0.244,0.144,0.605,88934.17,748,0.534,Groceries,247.69,2,3,1,55607.42,41.96717951372481
2022-05-02,61812.25,28498.84,0.224,0.132,0.536,14560.96,816,0.144,Entertainment,1882.74,2,1,1,33313.41,46.10548879874135
2022-05-03,108055.89,67653.74,0.32,0.663,0.496,73720.61,699,0.009,Travel,688.49,2,3,1,40402.15,62.60995120210476
2022-05-04,51962.98,45048.66,0.226,0.418,0.579,43645.63,725,0.808,Healthcare,708.97,2,3,0,6914.32,86.69375774830466
2022-05-05,91737.14,51196.49,0.156,0.469,0.485,28700.6,704,0.176,Healthcare,537.4,3,1,1,40540.65,55.80781131829485
2022-05-06,123809.11,80923.79,0.22,0.389,0.558,191776.88,664,0.606,Electronics,58.97,2,3,1,42885.32000000001,65.36174115135792
2022-05-07,60189.27,25326.83,0.586,0.156,0.705,123878.35,609,0.337,Healthcare,1920.2,3,3,1,34862.439999999995,42.078646243757404
2022-05-08,68674.05,32563.28,0.276,0.561,0.544,148444.69,665,0.585,Electronics,868.69,2,2,1,36110.77,47.41715393223495
2022-05-09,81993.03,73245.61,0.295,0.548,0.515,69919.11,630,0.316,Travel,714.81,2,2,0,8747.419999999998,89.33150781231038
2022-05-10,69930.49,61717.8,0.367,0.287,0.568,84697.95,785,0.087,Entertainment,1962.06,2,1,0,8212.690000000002,88.25592384666545
2022-05-11,48986.73,19715.69,0.591,0.284,0.7,55015.56,694,0.223,Electronics,796.46,1,5,1,29271.040000000005,40.24700158593969
2022-05-12,81371.26,71273.57,0.183,0.603,0.465,28423.48,683,0.188,Entertainment,1193.93,2,4,0,10097.689999999988,87.59059402545815
2022-05-13,58753.93,42276.97,0.425,0.143,0.668,44016.01,744,0.428,Rent/Bills,488.81,3,2,1,16476.96,71.95598660378974
2022-05-14,89471.85,74615.87,0.444,0.629,0.598,161527.67,644,0.658,Groceries,1868.26,3,5,1,14855.98000000001,83.3959172633627
2022-05-15,61611.52,38653.21,0.384,0.254,0.616,138733.7,662,0.264,Entertainment,1502.85,1,4,1,22958.31,62.736984901524906
2022-05-16,110998.69,73014.72,0.099,0.456,0.448,113916.49,703,0.012,Healthcare,1547.83,3,5,1,37983.97,65.7798033472287
2022-05-17,64334.93,41458.93,0.422,0.662,0.57,100267.08,751,0.519,Electronics,369.62,1,4,1,22876.0,64.44233327058878
2022-05-18,73558.77,53950.37,0.085,0.507,0.484,185262.51,725,0.606,Healthcare,599.12,3,5,1,19608.4,73.3432193061412
2022-05-19,96270.34,45230.27,0.378,0.349,0.673,23819.64,712,0.963,Entertainment,76.96,1,3,1,51040.07,46.98255973750586
2022-05-20,55382.71,22983.09,0.457,0.514,0.638,63314.15,704,0.589,Rent/Bills,546.35,2,1,1,32399.62,41.49867350297593
2022-05-21,84549.2,46837.29,0.166,0.306,0.545,76488.19,720,0.471,Groceries,87.7,3,3,1,37711.91,55.39649103717126
2022-05-22,106142.86,79855.56,0.513,0.266,0.706,158660.9,710,0.573,Electronics,1176.85,1,4,1,26287.300000000003,75.23403835170825
2022-05-23,47850.34,23969.51,0.067,0.698,0.462,198577.78,649,0.928,Rent/Bills,1198.22,2,3,1,23880.83,50.0926639183755
2022-05-24,83692.68,61657.75,0.514,0.55,0.678,55727.4,702,0.828,Electronics,395.8,2,4,1,22034.929999999997,73.67161620347204
2022-05-25,85197.66,75396.18,0.303,0.487,0.537,176118.39,646,0.323,Healthcare,772.14,3,1,1,9801.48000000001,88.49559952702926
2022-05-26,95636.46,42744.75,0.17,0.313,0.528,167818.32,704,0.237,Healthcare,1208.59,3,3,1,52891.71000000001,44.69503576355712
2022-05-27,55260.99,40688.72,0.124,0.129,0.541,52684.91,676,0.263,Groceries,856.69,3,2,1,14572.269999999997,73.63009602252873
2022-05-28,53590.87,33326.83,0.574,0.119,0.712,85873.19,827,0.504,Rent/Bills,1162.45,3,1,1,20264.04,62.18751440310635
2022-05-29,90438.83,75432.42,0.09,0.433,0.523,87837.85,698,0.744,Groceries,111.97,3,5,1,15006.410000000003,83.40711616901723
2022-05-30,85939.69,41987.98,0.16,0.557,0.478,195861.93,630,0.503,Electronics,1681.35,2,4,1,43951.71,48.85749529699258
2022-05-31,85009.86,63443.96,0.241,0.422,0.516,44369.46,693,0.068,Rent/Bills,1380.65,3,4,1,21565.9,74.63129571087401
2022-06-01,86928.96,71199.83,0.391,0.604,0.599,161840.01,726,0.724,Healthcare,696.41,3,4,1,15729.130000000005,81.90576535138577
2022-06-02,66399.51,57920.76,0.35,0.12,0.667,73496.62,784,0.806,Travel,1042.64,2,3,0,8478.749999999993,87.2307039615202
2022-06-03,84645.07,62774.82,0.119,0.32,0.502,148865.37,671,0.289,Travel,1749.86,1,1,1,21870.250000000007,74.16240544192354
2022-06-04,85861.45,55688.65,0.209,0.242,0.574,89802.09,621,0.664,Rent/Bills,332.6,3,4,1,30172.8,64.85873462421145
2022-06-05,65712.97,46585.48,0.181,0.368,0.527,119888.35,741,0.427,Rent/Bills,1032.88,3,5,1,19127.49,70.89236721456967
2022-06-06,117315.49,97894.2,0.167,0.143,0.603,168196.24,631,0.889,Electronics,1203.38,2,1,0,19421.290000000008,83.44524665924338
2022-06-07,89476.66,61318.79,0.276,0.672,0.553,162791.46,678,0.845,Entertainment,1840.95,1,3,1,28157.870000000003,68.53048605077569
2022-06-08,56173.93,23323.05,0.437,0.234,0.676,174620.4,687,0.525,Electronics,1842.06,1,1,1,32850.880000000005,41.519348922177954
2022-06-09,93131.07,80602.55,0.17,0.653,0.505,21327.29,697,0.692,Travel,471.52,1,2,0,12528.520000000004,86.54743255929519
2022-06-10,60506.37,45062.93,0.252,0.356,0.606,141489.61,734,0.883,Rent/Bills,1676.86,2,3,1,15443.440000000002,74.47634025971149
2022-06-11,95741.69,70681.94,0.265,0.691,0.505,36597.6,666,0.496,Healthcare,717.57,2,4,1,25059.75,73.82566570529515
2022-06-12,103171.91,52394.57,0.587,0.432,0.675,89005.53,686,0.313,Rent/Bills,1195.5,3,2,1,50777.34,50.78375499687851
2022-06-13,63586.35,46382.6,0.575,0.658,0.673,114231.8,699,0.754,Groceries,1959.77,3,1,1,17203.75,72.9442718445075
2022-06-14,99267.52,59255.98,0.49,0.103,0.695,86520.5,707,0.22,Groceries,1064.33,3,5,1,40011.54,59.69322090448115
2022-06-15,88255.62,64039.73,0.183,0.549,0.501,108726.22,705,0.389,Groceries,1831.07,2,4,1,24215.889999999992,72.56164536604015
2022-06-16,96441.2,43716.46,0.087,0.642,0.485,199340.0,722,0.866,Groceries,362.13,2,3,1,52724.74,45.32965164265895
2022-06-17,117935.86,85966.12,0.224,0.184,0.611,35691.29,742,0.724,Travel,563.75,1,5,1,31969.740000000005,72.89226533812531
2022-06-18,75092.24,67561.0,0.197,0.158,0.581,138336.65,720,0.404,Groceries,1359.71,2,5,1,7531.240000000005,89.97068139131287
2022-06-19,64925.28,27535.2,0.328,0.355,0.574,85240.18,723,0.215,Healthcare,177.49,3,5,1,37390.08,42.4105987683072
2022-06-20,62209.71,55278.75,0.478,0.66,0.567,35271.86,621,0.356,Electronics,1347.41,1,1,0,6930.959999999999,88.8587167501665
2022-06-21,63683.79,38430.24,0.522,0.425,0.651,40159.99,703,0.284,Electronics,1349.98,2,4,1,25253.550000000003,60.3454034378293
2022-06-22,78457.97,65541.96,0.515,0.416,0.632,190361.89,724,0.176,Travel,1331.27,1,4,1,12916.009999999997,83.53766991422287
2022-06-23,86823.04,68693.76,0.248,0.185,0.624,177124.28,736,0.743,Rent/Bills,70.71,2,2,1,18129.28,79.11927525228326
2022-06-24,85533.82,58463.06,0.428,0.1,0.664,182337.97,665,0.252,Travel,1838.96,2,3,1,27070.76000000001,68.3508114100364
2022-06-25,96543.66,74263.76,0.222,0.586,0.505,198391.23,667,0.454,Electronics,398.01,2,4,1,22279.90000000001,76.9224618167573
2022-06-26,80260.04,67358.86,0.083,0.153,0.531,49579.92,671,0.386,Travel,841.48,1,3,0,12901.179999999991,83.92577427073299
2022-06-27,109070.68,65668.2,0.436,0.48,0.667,77533.47,727,0.982,Rent/Bills,373.86,2,1,1,43402.48,60.2070143873679
2022-06-28,74706.86,42098.56,0.055,0.649,0.413,137151.62,752,0.391,Rent/Bills,91.98,3,5,1,32608.300000000003,56.35166569709929
2022-06-29,134403.38,98624.76,0.275,0.225,0.566,101922.48,680,0.08,Rent/Bills,1337.98,2,5,1,35778.62000000001,73.3796724457376
2022-06-30,92513.35,74373.6,0.231,0.499,0.486,89494.01,745,0.09,Rent/Bills,422.32,3,2,1,18139.75,80.3922893290536
2022-07-01,62856.85,49100.16,0.431,0.147,0.7,77984.14,706,0.591,Travel,950.75,2,4,0,13756.689999999997,78.11425485050556
2022-07-02,58582.15,46801.68,0.471,0.462,0.654,122818.32,694,0.599,Electronics,405.33,1,1,1,11780.47,79.8906834248999
2022-07-03,89649.45,55384.68,0.217,0.198,0.585,119362.75,689,0.419,Groceries,534.92,2,4,1,34264.77,61.77916317389565
2022-07-04,75530.74,61098.11,0.496,0.542,0.62,40676.99,737,0.432,Entertainment,307.67,1,1,0,14432.630000000005,80.89171375786864
2022-07-05,94280.01,43378.66,0.212,0.281,0.528,99630.57,716,0.054,Travel,1226.09,1,2,1,50901.34999999999,46.010453329396135
2022-07-06,89464.75,60142.19,0.295,0.378,0.554,115159.64,814,0.517,Travel,265.22,1,2,1,29322.56,67.22445432418914
2022-07-07,78543.42,31643.52,0.45,0.46,0.623,118354.52,657,0.505,Entertainment,1808.29,1,1,1,46899.9,40.28793245825048
2022-07-08,63064.13,35460.51,0.431,0.203,0.638,49920.37,726,0.15,Rent/Bills,809.47,3,3,1,27603.619999999995,56.22928596652329
2022-07-09,49703.06,28988.35,0.593,0.545,0.629,151031.56,674,0.104,Electronics,298.75,1,5,1,20714.71,58.323069042429175
2022-07-10,71069.7,42505.82,0.174,0.282,0.51,14787.83,657,0.124,Entertainment,1378.41,2,2,1,28563.88,59.80863856186252
2022-07-11,97127.98,72625.85,0.414,0.497,0.576,77418.05,699,0.101,Rent/Bills,375.17,3,5,1,24502.12999999999,74.77335573127333
2022-07-12,84281.87,50086.95,0.385,0.195,0.674,158240.4,707,0.61,Travel,1869.68,1,5,1,34194.92,59.42790543209352
